GEO_ID,NAME,Total_Grandparent_Householders,GP_Householder_ResponsibleForGrandchildren
48367,"Parker County, Texas",2778,1327
48369,"Parmer County, Texas",175,58
48371,"Pecos County, Texas",603,90
48373,"Polk County, Texas",1386,626
48375,"Potter County, Texas",3359,2463
48377,"Presidio County, Texas",447,0
48379,"Rains County, Texas",182,160
48381,"Randall County, Texas",2075,1301
48383,"Reagan County, Texas",54,50
48385,"Real County, Texas",106,44
48387,"Red River County, Texas",505,366
48389,"Reeves County, Texas",382,240
48391,"Refugio County, Texas",562,219
48393,"Roberts County, Texas",17,17
48395,"Robertson County, Texas",812,365
48397,"Rockwall County, Texas",1718,807
48399,"Runnels County, Texas",123,93
48401,"Rusk County, Texas",1363,780
48403,"Sabine County, Texas",134,52
48405,"San Augustine County, Texas",283,87
48407,"San Jacinto County, Texas",1145,468
48409,"San Patricio County, Texas",2529,1009
48411,"San Saba County, Texas",181,149
48413,"Schleicher County, Texas",38,38
48415,"Scurry County, Texas",155,98
48417,"Shackelford County, Texas",39,25
48419,"Shelby County, Texas",628,367
48421,"Sherman County, Texas",34,34
48423,"Smith County, Texas",5231,2764
48425,"Somervell County, Texas",268,82
48427,"Starr County, Texas",3477,1423
48429,"Stephens County, Texas",410,370
48431,"Sterling County, Texas",72,7
48433,"Stonewall County, Texas",99,86
48435,"Sutton County, Texas",8,0
48437,"Swisher County, Texas",337,280
48439,"Tarrant County, Texas",45176,22815
48441,"Taylor County, Texas",3413,2068
48443,"Terrell County, Texas",0,0
48445,"Terry County, Texas",440,128
48447,"Throckmorton County, Texas",36,27
48449,"Titus County, Texas",1014,462
48451,"Tom Green County, Texas",2321,1013
48453,"Travis County, Texas",17175,7891
48455,"Trinity County, Texas",384,279
48457,"Tyler County, Texas",443,219
48459,"Upshur County, Texas",827,534
48461,"Upton County, Texas",203,157
48463,"Uvalde County, Texas",1454,590
48465,"Val Verde County, Texas",2016,524
48467,"Van Zandt County, Texas",1664,790
48469,"Victoria County, Texas",2414,1387
48471,"Walker County, Texas",1107,445
48473,"Waller County, Texas",874,376
48475,"Ward County, Texas",456,411
48477,"Washington County, Texas",575,315
48479,"Webb County, Texas",13841,5380
48481,"Wharton County, Texas",1139,440
48483,"Wheeler County, Texas",235,155
48485,"Wichita County, Texas",2388,1766
48487,"Wilbarger County, Texas",165,148
48489,"Willacy County, Texas",930,494
48491,"Williamson County, Texas",6256,2613
48493,"Wilson County, Texas",1346,553
48495,"Winkler County, Texas",112,104
48497,"Wise County, Texas",1838,518
48499,"Wood County, Texas",963,626
48501,"Yoakum County, Texas",349,320
48503,"Young County, Texas",137,63
48505,"Zapata County, Texas",472,263
48507,"Zavala County, Texas",704,401
